City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,College,US,2020-05-25 20:03:23,64.86,-147.8,53.6,76,90,6.93
71,Alice Springs,AU,2020-05-25 19:58:32,-23.7,133.88,51.8,57,100,5.82
72,Agua Prieta,MX,2020-05-25 20:03:24,31.3,-109.57,82.0,12,0,7.0
73,Merauke,ID,2020-05-25 20:03:24,-8.47,140.33,76.08,90,82,8.37
74,Khor,RU,2020-05-25 20:03:24,47.89,134.95,46.22,93,27,1.99
75,Pevek,RU,2020-05-25 20:03:24,69.7,170.31,30.2,96,62,2.46
76,Talnakh,RU,2020-05-25 20:03:25,69.49,88.4,33.8,86,75,6.71
77,Ilulissat,GL,2020-05-25 20:03:25,69.22,-51.1,30.2,68,75,5.82
78,Vaini,TO,2020-05-25 20:03:25,-21.2,-175.2,73.4,78,75,5.82
79,Mahebourg,MU,2020-05-25 20:03:25,-20.41,57.7,71.6,83,20,12.75
80,Pangnirtung,CA,2020-05-25 20:03:25,66.15,-65.71,37.4,55,90,10.29
81,Kruisfontein,ZA,2020-05-25 20:03:25,-34.0,24.73,49.21,55,0,17.98
82,Kodiak,US,2020-05-25 20:03:25,57.79,-152.41,50.0,61,90,10.29
83,Kalmunai,LK,2020-05-25 20:03:26,7.42,81.82,81.79,82,100,4.65
84,Bontang,ID,2020-05-25 20:03:26,0.13,117.5,81.16,87,59,1.7
85,Thompson,CA,2020-05-25 20:03:26,55.74,-97.86,57.2,44,75,5.82
86,Mao,ES,2020-05-25 20:03:26,39.89,4.27,64.4,77,0,9.17
87,Dingle,PH,2020-05-25 20:03:27,11.0,122.67,79.5,79,9,2.82
88,Lagoa,PT,2020-05-25 20:03:27,39.05,-27.98,64.76,88,0,17.47
89,Ancud,CL,2020-05-25 20:03:27,-41.87,-73.82,62.01,82,100,14.99
90,Ambilobe,MG,2020-05-25 20:03:27,-13.2,49.05,67.53,87,0,4.45
91,Chabahar,IR,2020-05-25 20:03:27,25.29,60.64,85.98,73,0,9.66
92,Barrow,US,2020-05-25 19:58:34,71.29,-156.79,30.2,92,90,14.99
93,Clyde River,CA,2020-05-25 20:03:28,70.47,-68.59,28.4,86,75,11.41
94,Tampakan,PH,2020-05-25 20:03:28,6.44,124.93,76.15,81,36,0.4
95,Luganville,VU,2020-05-25 20:03:28,-15.53,167.17,78.8,83,40,3.36
96,Sabha,LY,2020-05-25 20:02:40,27.04,14.43,84.96,16,96,9.15
97,Chokurdakh,RU,2020-05-25 20:03:28,70.63,147.92,36.0,93,100,7.56
98,Narsaq,GL,2020-05-25 20:03:29,60.92,-46.05,50.0,46,40,11.41
99,Leninskoye,RU,2020-05-25 20:03:29,47.94,132.62,49.19,96,100,4.5
100,Esperance,AU,2020-05-25 20:03:29,-33.87,121.9,46.4,75,75,20.8
101,Mbala,ZM,2020-05-25 20:03:29,-8.84,31.37,59.43,67,22,3.27
102,Khasan,RU,2020-05-25 20:03:29,42.43,130.64,49.55,71,0,4.74
103,Leningradskiy,RU,2020-05-25 20:03:29,69.38,178.42,29.98,97,99,6.06
104,Bilibino,RU,2020-05-25 20:03:30,68.05,166.44,30.78,89,0,2.55
105,Cervo,ES,2020-05-25 20:03:30,43.67,-7.41,62.01,1,3,7.0
106,Saint George,US,2020-05-25 20:02:56,37.1,-113.58,82.0,14,1,6.93
107,Choma,ZM,2020-05-25 20:03:30,-16.81,26.95,56.77,60,0,3.27
108,Tiksi,RU,2020-05-25 20:03:30,71.69,128.87,34.86,96,100,8.72
109,Tuktoyaktuk,CA,2020-05-25 20:03:30,69.45,-133.04,42.8,91,40,14.99
110,Enkoping,SE,2020-05-25 20:03:31,59.64,17.08,55.4,62,0,2.24
111,Cidreira,BR,2020-05-25 20:03:31,-30.18,-50.21,61.34,63,11,20.02
112,Chuy,UY,2020-05-25 20:03:31,-33.7,-53.46,57.25,71,100,14.97
113,Grenville,GD,2020-05-25 20:03:31,12.12,-61.62,86.0,70,20,21.92
114,Atambua,ID,2020-05-25 20:03:31,-9.11,124.89,74.23,91,100,2.89
115,Okhotsk,RU,2020-05-25 20:03:31,59.38,143.3,45.91,58,95,6.26
116,Nantucket,US,2020-05-25 20:00:09,41.28,-70.1,64.4,77,75,11.41
117,Souillac,MU,2020-05-25 20:03:32,-20.52,57.52,71.6,83,20,12.75
118,Provideniya,RU,2020-05-25 20:03:32,64.38,-173.3,33.8,86,90,8.95
119,Victoria,HK,2020-05-25 20:00:40,22.29,114.16,82.0,88,82,8.01
120,Alta Floresta,BR,2020-05-25 20:00:22,-9.88,-56.09,79.52,86,15,3.65
121,Hay River,CA,2020-05-25 20:00:45,60.82,-115.8,37.4,93,90,14.99
122,Peniche,PT,2020-05-25 20:03:33,39.36,-9.38,66.99,86,0,8.01
123,Matveyev Kurgan,RU,2020-05-25 20:03:33,47.56,38.87,53.02,91,100,10.78
124,Naze,JP,2020-05-25 20:03:33,28.37,129.48,68.0,100,46,2.24
125,Katsuura,JP,2020-05-25 20:03:33,35.13,140.3,68.0,92,100,6.04
126,Matara,LK,2020-05-25 20:03:33,5.95,80.54,80.19,88,100,7.25
127,Sal Rei,CV,2020-05-25 20:03:34,16.18,-22.92,77.0,65,40,11.41
128,San Jose,US,2020-05-25 20:01:26,37.34,-121.89,93.0,22,1,3.36
129,Iquitos,PE,2020-05-25 20:03:34,-3.75,-73.25,73.4,78,90,5.82
130,Tall Kayf,TR,2020-05-25 20:03:34,37.08,41.07,63.45,47,0,3.02
131,Labuhan,ID,2020-05-25 20:03:34,-6.88,112.21,80.31,86,100,5.55
132,Pisco,PE,2020-05-25 19:59:08,-13.7,-76.22,64.99,88,90,9.17
133,Emporia,US,2020-05-25 20:03:35,38.4,-96.18,68.0,88,90,14.99
134,Zhezkazgan,KZ,2020-05-25 20:03:35,47.8,67.71,77.72,38,0,13.71
135,Nhulunbuy,AU,2020-05-25 20:03:35,-12.23,136.77,68.0,82,40,3.36
136,Saint-Gaudens,FR,2020-05-25 20:03:35,43.08,0.67,68.0,52,20,3.36
137,La Ronge,CA,2020-05-25 20:03:03,55.1,-105.28,75.2,31,75,9.17
138,Port Alfred,ZA,2020-05-25 20:03:35,-33.59,26.89,54.0,78,4,4.0
139,Kieta,PG,2020-05-25 20:03:35,-6.22,155.63,79.41,78,100,6.35
140,San Patricio,MX,2020-05-25 20:03:36,19.22,-104.7,80.6,65,5,5.82
141,Xining,CN,2020-05-25 20:03:36,36.62,101.77,42.85,75,100,7.09
142,Nchelenge,ZM,2020-05-25 20:03:36,-9.35,28.73,68.99,67,0,1.97
143,Carnarvon,AU,2020-05-25 20:03:36,-24.87,113.63,63.86,71,43,20.13
144,Calvinia,ZA,2020-05-25 20:03:37,-31.47,19.78,38.84,84,59,18.48
145,Listvyanka,RU,2020-05-25 20:03:37,51.85,104.87,59.0,62,99,8.95
146,Wangou,CN,2020-05-25 20:03:37,42.06,126.91,39.83,82,40,3.8
147,Odweyne,SO,2020-05-25 20:03:37,9.41,45.06,77.47,64,33,14.07
148,Cabo San Lucas,MX,2020-05-25 20:01:41,22.89,-109.91,86.0,42,5,5.82
149,Farafangana,MG,2020-05-25 20:03:37,-22.82,47.83,68.99,87,22,7.2
150,Pyapon,MM,2020-05-25 20:03:38,16.28,95.68,84.43,76,35,6.6
151,Pemangkat,ID,2020-05-25 20:03:38,1.17,108.97,79.32,87,100,2.33
